0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:09:02 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:09:24 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:09:24 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:09:25 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:09:25 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:09:25 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:09:25 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:09:26 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:09:26 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:09:26 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:09:26 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:09:26 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:09:26 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:09:27 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:09:27 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:09:27 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:09:27 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:09:27 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:09:27 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:09:27 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:09:27 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:09:51 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:09:51 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:09:52 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:09:52 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:09:53 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:09:53 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:09:53 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:09:53 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:09:53 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:09:53 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:18:21 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:18:21 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:18:22 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:18:22 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:18:23 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:18:23 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:19:03 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:19:03 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 264
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:20:33 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 702
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:20:33 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:21:10 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 702
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:21:10 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:26:10 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:26:10 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 264
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:26:43 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:26:43 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 264
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:26:58 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:26:58 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 263
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:27:10 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:27:10 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 264
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:27:21 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 714
